"A2";"A3";"A4";"A5";"A6";"A11";"A12";"A13";"A14";"A15";"A16"
17,92;0,54;"u";"g";"c";1;"t";"g";80;5;"-"
38,75;1,5;"u";"g";"ff";0;"f";"g";76;0;"-"
23,92;0,665;"u";"g";"c";0;"f";"g";100;0;"+"
23,5;9;"u";"g";"q";5;"t";"g";120;0;"+"
24,42;12,335;"u";"g";"q";0;"t";"g";120;0;"+"
31,83;2,5;"u";"g";"aa";0;"t";"g";523;0;"-"
39,42;1,71;"y";"p";"m";0;"f";"s";400;0;"-"
57,08;0,335;"u";"g";"i";0;"t";"g";252;2197;"-"
22,67;7;"u";"g";"c";0;"f";"g";160;0;"-"
42,5;4,915;"y";"p";"w";0;"t";"g";52;1442;"+"
48,58;0,205;"y";"p";"k";11;"f";"g";380;2732;"+"
37,17;4;"u";"g";"c";0;"t";"s";280;0;"-"
54,33;6,75;"u";"g";"c";11;"t";"g";0;284;"+"
22,25;1,25;"y";"p";"ff";0;"f";"g";280;0;"-"
44,33;0,5;"u";"g";"i";0;"t";"g";320;0;"+"
27,42;14,5;"u";"g";"x";1;"f";"g";120;11;"+"
22,42;5,665;"u";"g";"q";7;"f";"g";129;3257;"+"
47,42;3;"u";"g";"x";2;"t";"g";519;1704;"+"
56,58;18,5;"u";"g";"d";17;"t";"g";0;0;"+"
36,5;4,25;"u";"g";"q";0;"f";"g";454;50;"-"
24,75;12,5;"u";"g";"aa";12;"t";"g";120;567;"+"
29,25;13;"u";"g";"d";0;"f";"g";228;0;"-"
34,5;4,04;"y";"p";"i";7;"t";"g";195;0;"+"
30,17;6,5;"u";"g";"cc";8;"f";"g";330;1200;"+"
69,5;6;"u";"g";"ff";0;"f";"s";0;0;"-"
24,08;9;"u";"g";"aa";0;"t";"g";0;0;"-"
27,83;1;"y";"p";"d";0;"f";"g";176;537;"-"
36,75;5,125;"u";"g";"e";0;"t";"g";0;4000;"+"
38,25;10,125;"y";"p";"k";0;"f";"g";160;0;"-"
57,58;2;"u";"g";"ff";1;"f";"g";0;10;"-"
37,75;7;"u";"g";"q";7;"t";"g";300;5;"-"
48,17;7,625;"u";"g";"w";12;"f";"g";0;790;"+"
21,17;0,25;"y";"p";"c";0;"f";"g";280;204;"-"
33,17;3,04;"y";"p";"c";1;"t";"g";180;18027;"+"
23,33;11,625;"y";"p";"w";0;"t";"g";160;300;"+"
36,42;0,75;"y";"p";"d";0;"f";"g";240;3;"-"
21;4,79;"y";"p";"w";1;"t";"g";80;300;"+"
20,67;3;"u";"g";"q";3;"f";"g";100;6;"+"
25,17;6;"u";"g";"c";3;"f";"g";0;0;"+"
33,08;4,625;"u";"g";"q";2;"f";"g";0;0;"+"
41,17;1,25;"y";"p";"w";0;"f";"g";0;195;"-"
25,67;12,5;"u";"g";"cc";67;"t";"g";140;258;"+"
38,92;1,75;"u";"g";"k";0;"t";"g";300;2;"-"
51,42;0,04;"u";"g";"x";0;"f";"g";0;3000;"+"
41,75;0,96;"u";"g";"x";0;"f";"g";510;600;"+"
34,42;1,335;"u";"g";"i";0;"t";"g";440;4500;"-"
29,42;1,25;"u";"g";"w";0;"f";"g";200;0;"-"
50,75;0,585;"u";"g";"ff";0;"f";"g";145;0;"-"
25,42;1,125;"u";"g";"q";2;"f";"g";200;0;"-"
41,42;5;"u";"g";"q";6;"t";"g";470;0;"+"
36,17;5,5;"u";"g";"i";0;"f";"g";210;687;"-"
51,92;6,5;"u";"g";"i";0;"t";"g";73;0;"-"
49,17;2,29;"u";"g";"ff";0;"f";"g";200;3;"-"
19,58;0,665;"u";"g";"w";0;"f";"g";220;5;"-"
42,17;5,04;"u";"g";"q";0;"t";"g";92;0;"+"
63,33;0,54;"u";"g";"c";3;"t";"g";180;0;"-"
21,08;10,085;"y";"p";"e";0;"f";"g";260;0;"-"
23;0,75;"u";"g";"m";0;"t";"s";320;0;"-"
34,42;4,25;"u";"g";"i";2;"f";"g";274;610;"+"
28,92;15;"u";"g";"c";11;"f";"g";0;2283;"+"
74,83;19;"y";"p";"ff";2;"f";"g";0;351;"-"
35,17;4,5;"u";"g";"x";0;"t";"s";711;0;"+"
51,83;3;"y";"p";"ff";0;"f";"g";180;4;"-"
41;0,04;"u";"g";"e";1;"f";"s";560;0;"+"
40,92;0,5;"y";"p";"m";0;"t";"g";130;0;"-"
22,67;2,54;"y";"p";"c";0;"f";"g";0;0;"+"
18,08;5,5;"u";"g";"k";0;"f";"g";80;0;"+"
18,92;9,25;"y";"p";"c";4;"t";"g";80;500;"+"
22,75;11;"u";"g";"q";7;"t";"g";100;809;"+"
46,67;0,46;"u";"g";"cc";11;"t";"g";440;6;"+"
29,25;14,79;"u";"g";"aa";5;"t";"g";168;0;"+"
39,33;5,875;"u";"g";"cc";14;"t";"g";399;0;"+"
32,42;2,165;"y";"p";"k";0;"f";"g";120;0;"-"
32,33;0,54;"u";"g";"cc";0;"f";"g";440;11177;"+"
48,25;25,085;"u";"g";"w";3;"f";"g";120;14;"+"
24,5;1,04;"y";"p";"ff";3;"f";"g";180;147;"-"
23,33;1,5;"u";"g";"c";0;"f";"g";422;200;"+"
19,17;9,5;"u";"g";"w";0;"f";"g";120;2206;"+"
25,92;0,875;"u";"g";"k";2;"t";"g";174;3;"-"
23,5;3,165;"y";"p";"k";1;"t";"g";280;80;"-"
30,75;1,585;"u";"g";"d";0;"t";"s";0;0;"-"
